num_nans,num_valids,vnr,avg_phi
2316.0,203.0,0.08765112262521589,0.7054013257989618
1171.0,88.0,0.07514944491887275,0.6856601838891325
778.0,61.0,0.07840616966580977,0.7017370380291054
581.0,48.0,0.08261617900172118,0.677193906034308
463.0,40.0,0.08639308855291576,0.7277116239835303
384.0,35.0,0.09114583333333333,0.7025868846984012
335.0,24.0,0.07164179104477612,0.7891299222989794
285.0,29.0,0.10175438596491228,0.7193953717446578
260.0,19.0,0.07307692307692308,0.6943540318611068
232.0,19.0,0.08189655172413793,0.7553955983023402
209.0,20.0,0.09569377990430622,0.6501174534704688
191.0,18.0,0.09424083769633508,0.7862121597756183
174.0,19.0,0.10919540229885058,0.7312475008881458
163.0,16.0,0.09815950920245399,0.561310796033534
157.0,10.0,0.06369426751592357,0.5063945525315581
140.0,17.0,0.12142857142857143,0.7940358530318983
138.0,10.0,0.07246376811594203,0.6102605999418576
121.0,18.0,0.1487603305785124,0.7734445003739778
125.0,7.0,0.056,0.9116907861926756
118.0,7.0,0.059322033898305086,0.7831325303986251
109.0,10.0,0.09174311926605505,0.8231220916307171
106.0,8.0,0.07547169811320754,1.0487742300146439
105.0,4.0,0.0380952380952381,0.916296633069967
92.0,12.0,0.13043478260869565,0.651410404552255
93.0,7.0,0.07526881720430108,0.7413949457210048
91.0,5.0,0.054945054945054944,0.6828388084139224
84.0,9.0,0.10714285714285714,0.7921337808265253
82.0,7.0,0.08536585365853659,0.667291274451115
82.0,4.0,0.04878048780487805,0.3786065235938067
76.0,7.0,0.09210526315789473,0.592354557182296
