num_nans,num_valids,vnr,avg_phi
3790.0,294.0,0.07757255936675461,0.8835001762932434
1909.0,133.0,0.06966998428496594,0.7541285376225467
1273.0,88.0,0.06912804399057344,0.8553247399537931
961.0,60.0,0.062434963579604576,0.8120449382743697
766.0,50.0,0.06527415143603134,0.8528577701305238
634.0,46.0,0.07255520504731862,0.7651248244562187
551.0,32.0,0.05807622504537205,0.714677302453077
484.0,26.0,0.05371900826446281,0.8781374216046925
425.0,28.0,0.06588235294117648,0.7694318893590449
379.0,29.0,0.07651715039577836,0.7791890353500349
354.0,17.0,0.0480225988700565,0.6870090492709819
324.0,16.0,0.04938271604938271,0.9072929808545747
298.0,16.0,0.053691275167785234,0.717901045011911
279.0,12.0,0.043010752688172046,0.49932227213534475
253.0,19.0,0.07509881422924901,0.8236464678329783
245.0,10.0,0.04081632653061224,0.9224148111719938
224.0,16.0,0.07142857142857142,0.7406785003881249
215.0,11.0,0.05116279069767442,0.7206410825019781
204.0,10.0,0.049019607843137254,0.49776340375547035
191.0,13.0,0.06806282722513089,0.7427418462923332
178.0,16.0,0.0898876404494382,0.5314343620940181
168.0,17.0,0.10119047619047619,0.5504629261421103
164.0,13.0,0.07926829268292683,0.4831227284377909
159.0,11.0,0.06918238993710692,0.6728182431287214
151.0,12.0,0.07947019867549669,0.814788829335675
148.0,9.0,0.060810810810810814,0.8963284428408816
143.0,8.0,0.055944055944055944,1.187526817440178
139.0,6.0,0.04316546762589928,0.5653571023533723
132.0,8.0,0.06060606060606061,0.4895265817470987
124.0,12.0,0.0967741935483871,0.9057071244125391
