num_nans,num_valids,vnr,avg_phi
896.0,43.0,0.04799107142857143,0.8265624546039776
446.0,23.0,0.0515695067264574,0.6817287014598125
294.0,19.0,0.06462585034013606,0.631691081835223
222.0,12.0,0.05405405405405406,0.9207344370410507
174.0,13.0,0.07471264367816093,0.7859771104123757
147.0,9.0,0.061224489795918366,0.7209992415566773
126.0,8.0,0.06349206349206349,0.6367546959387012
111.0,6.0,0.05405405405405406,0.8206241836146845
99.0,5.0,0.050505050505050504,1.2145411859328823
88.0,5.0,0.056818181818181816,1.2486861255329116
78.0,7.0,0.08974358974358974,0.548114336510963
73.0,5.0,0.0684931506849315,1.1409898102213716
68.0,4.0,0.058823529411764705,0.3403687750896838
65.0,2.0,0.03076923076923077,0.4948658202108386
60.0,2.0,0.03333333333333333,0.5469950472570396
57.0,1.0,0.017543859649122806,0.3714796505995362
55.0,0.0,0.0,
51.0,1.0,0.0196078431372549,0.52050731336512
49.0,0.0,0.0,
45.0,1.0,0.022222222222222223,0.8732955271568177
41.0,3.0,0.07317073170731707,1.3679597407834792
42.0,0.0,0.0,
39.0,1.0,0.02564102564102564,1.2232298778334092
36.0,3.0,0.08333333333333333,0.8176975148226294
36.0,1.0,0.027777777777777776,0.42795159837072794
35.0,1.0,0.02857142857142857,1.768613867827554
33.0,1.0,0.030303030303030304,0.5952172364001942
31.0,2.0,0.06451612903225806,0.7208924411512487
31.0,1.0,0.03225806451612903,0.4681418379297958
29.0,2.0,0.06896551724137931,0.4133200077440411
