hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,2324.0,166.0,0.07142857142857142,0.7980549160454893,0.05320366106969927,0.869648041240719
2.0,1161.0,84.0,0.07235142118863049,0.8646753599893495,0.058339542360727185,0.9122263237831661
3.0,778.0,52.0,0.06683804627249357,0.6926990820365343,0.043398014778192516,0.7129408302664371
4.0,586.0,36.0,0.06143344709897611,0.6959286309361299,0.04027882751398823,0.7650701482637049
5.0,465.0,33.0,0.07096774193548387,0.8649248703535342,0.0573142986378848,0.7192578083962013
6.0,393.0,22.0,0.05597964376590331,0.6287893233666182,0.03333340991341109,0.6274705745906088
7.0,336.0,19.0,0.05654761904761905,0.7968642875954238,0.04264907454736071,0.8467883076208633
8.0,294.0,17.0,0.05782312925170068,0.6933411426815812,0.03789967660960412,0.7287983007709559
9.0,255.0,21.0,0.08235294117647059,0.9000630134155881,0.06848305536857735,0.8879430230671457
10.0,235.0,14.0,0.059574468085106386,0.912195030485184,0.05128807400318305,0.7152811279583087
11.0,213.0,13.0,0.06103286384976526,0.6392340075111315,0.03677009777718898,0.5024082265430239
12.0,198.0,9.0,0.045454545454545456,0.7088704886733775,0.03082045602927729,0.738065789368781
13.0,175.0,16.0,0.09142857142857143,1.0438915371204822,0.08744641148653254,0.9506200959426083
14.0,169.0,8.0,0.047337278106508875,0.853909906626237,0.03859479803960393,0.7766710176507522
15.0,156.0,10.0,0.0641025641025641,0.47069353296387967,0.02835503210625781,0.24722344611224786
16.0,140.0,15.0,0.10714285714285714,0.9533098446472658,0.09225579141747735,1.0091405642131748
17.0,135.0,11.0,0.08148148148148149,0.7269594549100185,0.05477091783568633,0.6840661092938296
18.0,132.0,6.0,0.045454545454545456,0.8216333231953182,0.035723187965013836,1.0952082103633916
19.0,126.0,5.0,0.03968253968253968,0.6883381085849953,0.026272446892557075,0.548723301238977
20.0,115.0,9.0,0.0782608695652174,0.7360903749160292,0.05342591430842148,0.53728592395233
21.0,109.0,9.0,0.08256880733944955,0.5518923717308982,0.042093485979475286,0.550097103225767
22.0,103.0,10.0,0.0970873786407767,0.812695552829268,0.07191996042736884,0.7802771968837409
23.0,99.0,9.0,0.09090909090909091,1.1720785123252428,0.0976732093604369,0.9975209741411297
24.0,97.0,6.0,0.061855670103092786,0.964459205852283,0.056182089661298035,1.0918749155498384
25.0,95.0,4.0,0.042105263157894736,0.7240190358216028,0.029253294376630413,0.49645046773875534
26.0,90.0,5.0,0.05555555555555555,0.8428533572379848,0.04436070301252552,0.6091106876099851
27.0,86.0,6.0,0.06976744186046512,0.5082053026761036,0.03314382408757198,0.47053388703216986
28.0,79.0,9.0,0.11392405063291139,0.8445890611888337,0.08637842671249435,0.4938055697150322
29.0,80.0,5.0,0.0625,0.7779863623136818,0.0457639036655107,0.6895042707507265
30.0,82.0,1.0,0.012195121951219513,0.1197329673477083,0.0014425658716591362,0.06058776660968367
