num_nans,num_valids,vnr,avg_phi
1878.0,139.0,0.07401490947816826,0.795058444640395
933.0,75.0,0.08038585209003216,0.7917000612615246
621.0,51.0,0.0821256038647343,0.8790154838439136
471.0,33.0,0.07006369426751592,0.9226697744990987
364.0,39.0,0.10714285714285714,0.7385969693096016
310.0,26.0,0.08387096774193549,1.1338707705591924
270.0,18.0,0.06666666666666667,0.737753183624155
232.0,20.0,0.08620689655172414,0.7247223776343918
207.0,17.0,0.0821256038647343,0.8555069115487851
182.0,19.0,0.1043956043956044,0.6902569268531555
166.0,17.0,0.10240963855421686,1.030893246494163
157.0,11.0,0.07006369426751592,0.7535998395554436
138.0,17.0,0.12318840579710146,0.7534397604095495
134.0,10.0,0.07462686567164178,0.7613077311031449
123.0,11.0,0.08943089430894309,0.6189422163184394
113.0,13.0,0.11504424778761062,0.9557291801464104
110.0,8.0,0.07272727272727272,0.7794691766747155
105.0,7.0,0.06666666666666667,0.6429971023743456
99.0,7.0,0.0707070707070707,0.8524149943617261
92.0,8.0,0.08695652173913043,0.6322573572004343
90.0,6.0,0.06666666666666667,0.7939965459677855
82.0,9.0,0.10975609756097561,1.039075242517658
83.0,4.0,0.04819277108433735,0.7070271260684973
78.0,6.0,0.07692307692307693,0.4617148214738607
70.0,10.0,0.14285714285714285,0.7273666597466949
71.0,6.0,0.08450704225352113,0.8839137689104403
70.0,4.0,0.05714285714285714,0.6136163501144412
69.0,3.0,0.043478260869565216,0.7542686379765398
60.0,9.0,0.15,0.8038505113946393
60.0,7.0,0.11666666666666667,0.4481547183483164
