num_nans,num_valids,vnr,avg_phi
2693.0,225.0,0.08354994430003714,0.7605733947061816
1342.0,117.0,0.08718330849478391,0.7436672489612972
889.0,83.0,0.09336332958380203,0.7704175718157257
674.0,55.0,0.08160237388724036,0.7897690748472137
532.0,51.0,0.09586466165413533,0.6114972458609235
440.0,46.0,0.10454545454545454,0.6767443455746556
382.0,34.0,0.08900523560209424,0.6110823652191617
338.0,26.0,0.07692307692307693,0.7372984744107179
297.0,27.0,0.09090909090909091,0.7997465189690158
270.0,21.0,0.07777777777777778,0.7119377969293715
248.0,17.0,0.06854838709677419,0.7473078554496211
229.0,14.0,0.0611353711790393,0.9683396439153142
204.0,20.0,0.09803921568627451,0.62501831738095
202.0,6.0,0.0297029702970297,0.8058932251930844
180.0,14.0,0.07777777777777778,0.43459492747805945
173.0,9.0,0.05202312138728324,0.6946420088044428
156.0,15.0,0.09615384615384616,0.6686636152518904
154.0,8.0,0.05194805194805195,0.538829856001128
142.0,11.0,0.07746478873239436,0.7736510597071664
136.0,9.0,0.0661764705882353,0.6610434098518366
132.0,6.0,0.045454545454545456,0.828110955324115
126.0,6.0,0.047619047619047616,0.742272399893884
121.0,5.0,0.04132231404958678,1.215397439858898
111.0,10.0,0.09009009009009009,0.6369863995577878
107.0,9.0,0.08411214953271028,0.6221100702045209
106.0,6.0,0.05660377358490566,0.4894736250107871
96.0,12.0,0.125,0.6350472446632142
101.0,3.0,0.0297029702970297,0.7226698944760281
96.0,4.0,0.041666666666666664,0.24994242035276695
92.0,5.0,0.05434782608695652,0.4630698007940387
