num_nans,num_valids,vnr,avg_phi
3829.0,287.0,0.07495429616087751,0.8128894007579411
1934.0,124.0,0.0641158221302999,0.8424286603803692
1290.0,82.0,0.06356589147286822,0.8042004112374704
968.0,61.0,0.06301652892561983,0.7637503004456966
775.0,48.0,0.06193548387096774,0.9142645481827247
651.0,35.0,0.053763440860215055,0.7473737525178177
557.0,31.0,0.05565529622980251,0.6660214119814236
492.0,22.0,0.044715447154471545,1.0803996280731367
432.0,25.0,0.05787037037037037,1.0694998108192195
388.0,23.0,0.059278350515463915,0.8308811892006943
355.0,19.0,0.05352112676056338,0.744872309406035
325.0,18.0,0.055384615384615386,0.701643241374716
298.0,18.0,0.06040268456375839,0.7630507808604856
278.0,16.0,0.05755395683453238,0.6075765882536025
264.0,10.0,0.03787878787878788,0.9071811001486626
247.0,10.0,0.04048582995951417,1.047428833988223
229.0,13.0,0.056768558951965066,0.856791909926803
215.0,13.0,0.06046511627906977,0.8570601980636015
203.0,13.0,0.06403940886699508,0.6597443713348953
192.0,13.0,0.06770833333333333,1.2090566255586137
186.0,10.0,0.053763440860215055,0.9054982149212869
173.0,14.0,0.08092485549132948,0.826657107686156
170.0,8.0,0.047058823529411764,0.3092114042145666
166.0,5.0,0.030120481927710843,0.9410487787077741
158.0,6.0,0.0379746835443038,0.8271123819379061
149.0,9.0,0.06040268456375839,0.961359671758342
147.0,5.0,0.034013605442176874,0.9784407695999292
141.0,6.0,0.0425531914893617,0.9187705867548175
137.0,4.0,0.029197080291970802,0.5254797195949988
131.0,6.0,0.04580152671755725,0.4497012866469278
