num_nans,num_valids,vnr,avg_phi
2524.0,179.0,0.07091917591125198,0.6926301828232938
1259.0,92.0,0.07307386814932486,0.6440412515461391
841.0,60.0,0.0713436385255648,0.6628675919380336
623.0,52.0,0.08346709470304976,0.6533483744140989
497.0,43.0,0.08651911468812877,0.674649690259669
415.0,35.0,0.08433734939759036,0.554512805777149
360.0,26.0,0.07222222222222222,0.6068770554892607
307.0,30.0,0.09771986970684039,0.6229458695133945
281.0,19.0,0.06761565836298933,0.658396419074834
250.0,20.0,0.08,0.5810220189465259
228.0,17.0,0.07456140350877193,0.38024789134726467
208.0,17.0,0.08173076923076923,0.724852336061823
195.0,12.0,0.06153846153846154,0.5374981238649646
180.0,13.0,0.07222222222222222,0.47788935865274695
165.0,15.0,0.09090909090909091,0.9211165044069478
157.0,11.0,0.07006369426751592,0.6417052360349511
154.0,5.0,0.032467532467532464,1.0117847805237492
142.0,8.0,0.056338028169014086,0.7075654959506097
136.0,6.0,0.04411764705882353,0.9086355174698544
122.0,13.0,0.10655737704918032,0.7149071345464323
118.0,10.0,0.0847457627118644,0.5739463050855446
114.0,8.0,0.07017543859649122,0.973107107689358
111.0,6.0,0.05405405405405406,0.9821163514032049
103.0,9.0,0.08737864077669903,0.8467736652936977
104.0,4.0,0.038461538461538464,0.517763264533912
97.0,6.0,0.061855670103092786,0.7187880506560602
95.0,5.0,0.05263157894736842,0.39747765563876836
88.0,8.0,0.09090909090909091,0.46317508845186994
85.0,8.0,0.09411764705882353,0.43480338505243554
84.0,6.0,0.07142857142857142,0.8103392387507747
