hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,3326.0,324.0,0.0974143114852676,0.7411213636285133,0.06578721145633927,0.7778574607230011
2.0,1657.0,168.0,0.10138805069402534,0.7180504865510609,0.06609998999483739,0.7380680907742326
3.0,1109.0,107.0,0.09648331830477908,0.6914878133317918,0.06084637831126787,0.6561928305645361
4.0,840.0,72.0,0.08571428571428572,0.6729852288539635,0.053130412804260264,0.6424304062902809
5.0,672.0,58.0,0.08630952380952381,0.704664847377648,0.05598707006562135,0.7231095846466333
6.0,560.0,48.0,0.08571428571428572,0.6993024697095667,0.05520808971391316,0.7963822237411932
7.0,469.0,52.0,0.11087420042643924,0.705898415423249,0.07045435240308817,0.732004686428681
8.0,417.0,39.0,0.09352517985611511,0.7684336338541912,0.06572129763226635,0.7406383661088917
9.0,373.0,32.0,0.08579088471849866,0.7459268643093464,0.05893743125407182,0.5283781822407146
10.0,342.0,23.0,0.06725146198830409,0.5204608815836969,0.03279616514089049,0.4911720695833894
11.0,296.0,35.0,0.11824324324324324,0.6372684300779571,0.06738487931337915,0.592784916349886
12.0,285.0,19.0,0.06666666666666667,0.6052641547275034,0.03782900967046896,0.5373888569192734
13.0,263.0,17.0,0.06463878326996197,0.959864356690579,0.058277478799070866,0.9830306357010569
14.0,241.0,19.0,0.07883817427385892,0.7187347587661689,0.05252292467906618,0.7408208399908224
15.0,228.0,15.0,0.06578947368421052,0.822307574585243,0.05075972682624956,0.7026121432665867
16.0,208.0,20.0,0.09615384615384616,0.7142562645115348,0.06265405829048551,0.604989374719798
17.0,196.0,18.0,0.09183673469387756,0.920876040709493,0.07745686323724707,0.8519805909891094
18.0,188.0,14.0,0.07446808510638298,0.998284908112087,0.06918806293846147,0.8517971878370465
19.0,173.0,19.0,0.10982658959537572,0.6905556827456507,0.0683362394383717,0.5402734279869209
20.0,174.0,8.0,0.04597701149425287,0.6130019820181154,0.026945142066730352,0.44927620318545136
21.0,152.0,21.0,0.13815789473684212,0.7492624310539805,0.09095093093718838,0.7931225785107876
22.0,153.0,12.0,0.0784313725490196,0.8970894585705151,0.06524286971421928,0.7184727351785106
23.0,148.0,10.0,0.06756756756756757,0.7267985430978076,0.04599990779100049,0.4141949115714535
24.0,145.0,7.0,0.04827586206896552,0.9053250614062937,0.041692601512131944,0.7616190889724518
25.0,136.0,10.0,0.07352941176470588,0.7902638101831939,0.054127658231725606,0.8457662737983389
26.0,134.0,6.0,0.04477611940298507,0.8037931706877589,0.03444827874376109,0.679937509438181
27.0,130.0,5.0,0.038461538461538464,0.700941297930272,0.0259607888122323,0.5210743909166635
28.0,120.0,10.0,0.08333333333333333,0.8171545902114115,0.0628580454008778,0.8715615967331125
29.0,118.0,7.0,0.059322033898305086,0.9543906337715438,0.05344587549120645,0.9365640136888204
30.0,117.0,4.0,0.03418803418803419,0.7640627172986065,0.025258271646234925,0.5890214709573094
