num_nans,num_valids,vnr,avg_phi
2607.0,115.0,0.04411200613732259,0.8117760959734313
1302.0,59.0,0.04531490015360983,0.8539442393362094
867.0,40.0,0.0461361014994233,0.8056551766089195
649.0,31.0,0.04776579352850539,0.6966868563403399
522.0,22.0,0.0421455938697318,0.8737199793226073
434.0,19.0,0.04377880184331797,0.7499280350596534
372.0,16.0,0.043010752688172046,0.7952048800221867
320.0,20.0,0.0625,0.7601739179261149
287.0,15.0,0.05226480836236934,0.7806387471937936
262.0,10.0,0.03816793893129771,1.0779838402115256
240.0,7.0,0.029166666666666667,0.4202152802346913
216.0,10.0,0.046296296296296294,0.6137128149517899
205.0,4.0,0.01951219512195122,0.9719018284593283
187.0,7.0,0.0374331550802139,1.192889305134507
174.0,7.0,0.040229885057471264,0.35380369504418846
165.0,5.0,0.030303030303030304,0.5072305680402472
157.0,3.0,0.01910828025477707,0.8965086216600908
145.0,6.0,0.041379310344827586,0.588218689522746
138.0,5.0,0.036231884057971016,0.6862698296137376
131.0,5.0,0.03816793893129771,0.6817009069157862
126.0,3.0,0.023809523809523808,0.8186764263709945
122.0,1.0,0.00819672131147541,0.07167637836932134
114.0,4.0,0.03508771929824561,0.5619588378313594
106.0,7.0,0.0660377358490566,0.49742836068792684
105.0,3.0,0.02857142857142857,0.7253543140334008
103.0,1.0,0.009708737864077669,0.5111204548857783
98.0,2.0,0.02040816326530612,0.3836280828702327
94.0,3.0,0.031914893617021274,0.711556431237682
93.0,0.0,0.0,
88.0,2.0,0.022727272727272728,0.8368371208929861
