num_nans,num_valids,vnr,avg_phi
2216.0,184.0,0.08303249097472924,0.7844432034924429
1104.0,96.0,0.08695652173913043,0.8402341218161921
742.0,58.0,0.07816711590296496,0.7276702099773653
556.0,44.0,0.07913669064748201,0.7779535967643664
448.0,32.0,0.07142857142857142,0.6582861266553919
372.0,28.0,0.07526881720430108,0.7868877575684382
317.0,25.0,0.07886435331230283,0.8661378233475897
283.0,17.0,0.06007067137809187,0.8964374537463555
257.0,9.0,0.03501945525291829,0.9020453262239317
222.0,18.0,0.08108108108108109,0.728802949573447
203.0,15.0,0.07389162561576355,0.7836806724186872
191.0,9.0,0.04712041884816754,0.6136839301565691
173.0,11.0,0.06358381502890173,0.7461530210422112
162.0,9.0,0.05555555555555555,0.6843195580380409
150.0,10.0,0.06666666666666667,0.8614916425556751
142.0,8.0,0.056338028169014086,0.7272652925789417
135.0,6.0,0.044444444444444446,1.0154411732166018
127.0,6.0,0.047244094488188976,1.2563114862465812
116.0,10.0,0.08620689655172414,0.7932094079535228
111.0,9.0,0.08108108108108109,0.5609955893791184
110.0,4.0,0.03636363636363636,0.8028757402946981
108.0,1.0,0.009259259259259259,1.5660986236496643
99.0,5.0,0.050505050505050504,0.7426122090336221
94.0,6.0,0.06382978723404255,0.6033613451807739
90.0,6.0,0.06666666666666667,0.9184651424702018
90.0,2.0,0.022222222222222223,0.5982960981546606
82.0,6.0,0.07317073170731707,1.0983956242742845
78.0,7.0,0.08974358974358974,0.8609252090901235
79.0,3.0,0.0379746835443038,0.7677164900710945
77.0,3.0,0.03896103896103896,0.7232392371042277
