num_nans,num_valids,vnr,avg_phi
2581.0,170.0,0.06586594343277799,0.8446251389044818
1289.0,86.0,0.06671838634600466,0.8741365603035038
861.0,56.0,0.06504065040650407,0.7517871914266616
636.0,51.0,0.08018867924528301,0.8320879898554042
519.0,31.0,0.05973025048169557,0.7514015916430362
433.0,25.0,0.057736720554272515,0.5872975564341715
366.0,27.0,0.07377049180327869,0.744953757933991
318.0,25.0,0.07861635220125786,0.6938507912580987
281.0,24.0,0.08540925266903915,0.6965772005338796
262.0,13.0,0.04961832061068702,0.8201893316133622
239.0,11.0,0.04602510460251046,1.0515654259511695
216.0,13.0,0.06018518518518518,1.009403315804896
202.0,9.0,0.04455445544554455,0.9983883574320385
184.0,12.0,0.06521739130434782,0.60589461347214
177.0,6.0,0.03389830508474576,0.7895447275560602
161.0,10.0,0.062111801242236024,0.732624242252501
155.0,6.0,0.03870967741935484,0.7384401514647031
146.0,6.0,0.0410958904109589,0.5161891114526723
138.0,6.0,0.043478260869565216,0.883573144401557
131.0,6.0,0.04580152671755725,0.6614063628822539
120.0,11.0,0.09166666666666666,0.7661063270194177
116.0,9.0,0.07758620689655173,1.159785160536612
114.0,5.0,0.043859649122807015,0.6042676036434577
111.0,3.0,0.02702702702702703,1.1919533707618677
106.0,4.0,0.03773584905660377,0.9385638907184722
101.0,4.0,0.039603960396039604,0.666656661720163
96.0,5.0,0.052083333333333336,0.5988479139438141
97.0,1.0,0.010309278350515464,0.6634206665817073
91.0,3.0,0.03296703296703297,1.3492155119191651
89.0,2.0,0.02247191011235955,0.6014289139566695
