num_nans,num_valids,vnr,avg_phi
3182.0,197.0,0.061910747957259586,0.6441252094402136
1608.0,81.0,0.05037313432835821,0.6402290099830862
1072.0,54.0,0.05037313432835821,0.6271607689504489
805.0,39.0,0.0484472049689441,0.6897475072170758
649.0,26.0,0.040061633281972264,0.7376576742012323
542.0,21.0,0.03874538745387454,0.6107460976516581
466.0,16.0,0.034334763948497854,0.8459524898216149
409.0,13.0,0.03178484107579462,0.875544805826552
361.0,14.0,0.038781163434903045,1.0696525885797141
328.0,9.0,0.027439024390243903,1.0610483735368963
295.0,12.0,0.04067796610169491,0.3691319645755505
271.0,10.0,0.03690036900369004,0.5156676569213663
255.0,4.0,0.01568627450980392,0.4063139685723429
228.0,13.0,0.05701754385964912,0.7279937441206091
216.0,9.0,0.041666666666666664,0.7289586732904324
203.0,8.0,0.03940886699507389,1.049884834221496
193.0,5.0,0.025906735751295335,0.769764223094012
181.0,6.0,0.03314917127071823,0.7856383622438204
170.0,7.0,0.041176470588235294,0.6485753794532257
160.0,8.0,0.05,1.044330177476058
152.0,8.0,0.05263157894736842,0.7005240793782157
149.0,4.0,0.026845637583892617,0.9912733555160024
142.0,4.0,0.028169014084507043,0.35044269152861574
139.0,1.0,0.007194244604316547,0.5161842227357549
130.0,5.0,0.038461538461538464,0.3913430669733308
125.0,4.0,0.032,0.6884690647457439
118.0,7.0,0.059322033898305086,0.8932685693288286
117.0,3.0,0.02564102564102564,0.5965072606505002
112.0,4.0,0.03571428571428571,0.43343045268199754
111.0,1.0,0.009009009009009009,0.19264507794241145
