num_nans,num_valids,vnr,avg_phi
2519.0,199.0,0.07899960301707026,0.7535268484038422
1267.0,92.0,0.07261247040252565,0.7937506429649086
848.0,58.0,0.06839622641509434,0.7518558431558442
630.0,49.0,0.07777777777777778,0.7330063372439692
492.0,51.0,0.10365853658536585,0.8216174578941945
423.0,30.0,0.07092198581560284,0.8018507994602279
364.0,24.0,0.06593406593406594,0.6389978636044465
316.0,23.0,0.07278481012658228,0.693605090848886
281.0,21.0,0.07473309608540925,0.670867105357719
248.0,23.0,0.09274193548387097,0.9186811959079838
229.0,18.0,0.07860262008733625,0.692412796793517
210.0,16.0,0.0761904761904762,0.8102903902693819
191.0,18.0,0.09424083769633508,0.6726307191418589
179.0,15.0,0.08379888268156424,0.6645147283395135
168.0,13.0,0.07738095238095238,0.9187955688300702
156.0,13.0,0.08333333333333333,0.5940242885991055
144.0,15.0,0.10416666666666667,0.6369724270729246
136.0,15.0,0.11029411764705882,0.9812781235643802
132.0,11.0,0.08333333333333333,0.8157899599182449
120.0,15.0,0.125,0.694188410371572
126.0,3.0,0.023809523809523808,0.7454140991390817
113.0,10.0,0.08849557522123894,0.5349656370731697
110.0,8.0,0.07272727272727272,0.5909299750714597
105.0,8.0,0.0761904761904762,0.9350297407230838
95.0,13.0,0.1368421052631579,0.8888817627799561
92.0,12.0,0.13043478260869565,0.8429368978228368
89.0,11.0,0.12359550561797752,0.7742317941889673
91.0,6.0,0.06593406593406594,1.0287856800293442
90.0,3.0,0.03333333333333333,0.5646599307016539
82.0,8.0,0.0975609756097561,0.9356731415395121
