num_nans,num_valids,vnr,avg_phi
2877.0,163.0,0.05665623913799096,0.7847097497468093
1450.0,70.0,0.04827586206896552,0.7741227254300993
967.0,46.0,0.047569803516028956,0.8276536831275056
724.0,36.0,0.049723756906077346,0.7106944331737141
570.0,38.0,0.06666666666666667,0.6784579620490693
486.0,20.0,0.0411522633744856,0.5991831249298452
410.0,24.0,0.05853658536585366,0.6787002156540837
358.0,22.0,0.061452513966480445,0.5841118908647134
323.0,14.0,0.043343653250773995,0.8497771134703853
291.0,13.0,0.044673539518900345,0.7179734110450725
263.0,13.0,0.049429657794676805,0.9526598497871075
246.0,7.0,0.028455284552845527,1.0002932433323515
221.0,12.0,0.05429864253393665,0.622695286451719
208.0,9.0,0.04326923076923077,0.5856405735089194
193.0,9.0,0.046632124352331605,0.9552149910137641
181.0,9.0,0.049723756906077346,0.8419849086638006
169.0,9.0,0.05325443786982249,0.5933890204973865
160.0,8.0,0.05,0.773189981380194
150.0,10.0,0.06666666666666667,0.7435669045628315
147.0,5.0,0.034013605442176874,0.5032981804859564
139.0,5.0,0.03597122302158273,0.7218386649917721
132.0,6.0,0.045454545454545456,1.1223178662915478
125.0,7.0,0.056,0.8863563832787948
117.0,9.0,0.07692307692307693,0.6288172198232116
117.0,4.0,0.03418803418803419,1.065857669127944
112.0,4.0,0.03571428571428571,0.3147303221973146
110.0,2.0,0.01818181818181818,0.6200110330994459
103.0,5.0,0.04854368932038835,0.4965669933801468
99.0,5.0,0.050505050505050504,0.7956825244800487
93.0,8.0,0.08602150537634409,0.7401712013175021
