num_nans,num_valids,vnr,avg_phi
2386.0,274.0,0.11483654652137469,0.7404974819268678
1201.0,129.0,0.10741049125728559,0.7769986055961295
795.0,91.0,0.11446540880503145,0.7646185680629441
596.0,69.0,0.11577181208053691,0.8318024138325016
478.0,54.0,0.11297071129707113,0.8602439277140651
397.0,46.0,0.11586901763224182,0.7314210966374243
339.0,41.0,0.12094395280235988,0.6826034982813128
293.0,39.0,0.13310580204778158,0.7437391193222692
274.0,21.0,0.07664233576642336,0.8994084739653203
238.0,28.0,0.11764705882352941,0.8140768664247989
218.0,23.0,0.10550458715596331,0.6171162053998362
201.0,20.0,0.09950248756218906,0.5923908420245767
184.0,20.0,0.10869565217391304,0.7425226821934965
166.0,24.0,0.14457831325301204,0.6888754608124913
166.0,11.0,0.06626506024096386,0.7182837730489534
156.0,10.0,0.0641025641025641,1.31674469532155
145.0,11.0,0.07586206896551724,0.7683152652522046
136.0,11.0,0.08088235294117647,0.8609716901906459
127.0,13.0,0.10236220472440945,0.752527838633696
124.0,9.0,0.07258064516129033,0.929170941983359
115.0,11.0,0.09565217391304348,0.45956248582944303
114.0,6.0,0.05263157894736842,1.2488032390228503
105.0,10.0,0.09523809523809523,0.8262182988626943
100.0,10.0,0.1,0.8067264749348402
100.0,6.0,0.06,0.3875651187520086
96.0,6.0,0.0625,0.42787545657573184
90.0,8.0,0.08888888888888889,0.795581176570513
86.0,9.0,0.10465116279069768,0.5548408886156982
87.0,4.0,0.04597701149425287,1.0726772855659574
80.0,8.0,0.1,0.70067606630378
