num_nans,num_valids,vnr,avg_phi
1962.0,139.0,0.07084607543323139,0.7996832107226719
988.0,62.0,0.06275303643724696,0.8225336361455696
655.0,45.0,0.06870229007633588,0.7260468898378108
493.0,32.0,0.06490872210953347,0.829221719892468
402.0,18.0,0.04477611940298507,0.6547685851113401
332.0,18.0,0.05421686746987952,0.7185513234589577
277.0,23.0,0.08303249097472924,0.6551782073670792
247.0,15.0,0.06072874493927125,0.7226895066494667
221.0,12.0,0.05429864253393665,0.899900629222319
197.0,13.0,0.06598984771573604,0.5218258307411048
183.0,8.0,0.04371584699453552,0.4261210517346591
167.0,8.0,0.04790419161676647,0.7404680547153941
159.0,2.0,0.012578616352201259,0.7776709788133875
145.0,5.0,0.034482758620689655,0.670938045916105
137.0,3.0,0.021897810218978103,0.7074452098177787
120.0,11.0,0.09166666666666666,0.9884737003142002
115.0,8.0,0.06956521739130435,0.6933993472455099
107.0,9.0,0.08411214953271028,0.692921881851902
107.0,3.0,0.028037383177570093,0.8259745055844704
102.0,3.0,0.029411764705882353,0.9008701378607928
95.0,5.0,0.05263157894736842,0.5680726012098261
93.0,2.0,0.021505376344086023,0.17670208963101197
84.0,7.0,0.08333333333333333,0.507702217701323
83.0,4.0,0.04819277108433735,0.30966407819560415
80.0,4.0,0.05,0.5606676560649528
79.0,1.0,0.012658227848101266,1.1007019449977777
72.0,5.0,0.06944444444444445,0.7586324789056023
72.0,3.0,0.041666666666666664,0.8164811962705336
67.0,5.0,0.07462686567164178,1.0968895239787702
68.0,2.0,0.029411764705882353,0.8445239035697376
