num_nans,num_valids,vnr,avg_phi
3326.0,324.0,0.0974143114852676,0.7411213636285133
1657.0,168.0,0.10138805069402534,0.7180504865510609
1109.0,107.0,0.09648331830477908,0.6914878133317918
840.0,72.0,0.08571428571428572,0.6729852288539635
672.0,58.0,0.08630952380952381,0.704664847377648
560.0,48.0,0.08571428571428572,0.6993024697095667
469.0,52.0,0.11087420042643924,0.705898415423249
417.0,39.0,0.09352517985611511,0.7684336338541912
373.0,32.0,0.08579088471849866,0.7459268643093464
342.0,23.0,0.06725146198830409,0.5204608815836969
296.0,35.0,0.11824324324324324,0.6372684300779571
285.0,19.0,0.06666666666666667,0.6052641547275034
263.0,17.0,0.06463878326996197,0.959864356690579
241.0,19.0,0.07883817427385892,0.7187347587661689
228.0,15.0,0.06578947368421052,0.822307574585243
208.0,20.0,0.09615384615384616,0.7142562645115348
196.0,18.0,0.09183673469387756,0.920876040709493
188.0,14.0,0.07446808510638298,0.998284908112087
173.0,19.0,0.10982658959537572,0.6905556827456507
174.0,8.0,0.04597701149425287,0.6130019820181154
152.0,21.0,0.13815789473684212,0.7492624310539805
153.0,12.0,0.0784313725490196,0.8970894585705151
148.0,10.0,0.06756756756756757,0.7267985430978076
145.0,7.0,0.04827586206896552,0.9053250614062937
136.0,10.0,0.07352941176470588,0.7902638101831939
134.0,6.0,0.04477611940298507,0.8037931706877589
130.0,5.0,0.038461538461538464,0.700941297930272
120.0,10.0,0.08333333333333333,0.8171545902114115
118.0,7.0,0.059322033898305086,0.9543906337715438
117.0,4.0,0.03418803418803419,0.7640627172986065
